1,Suma,Suma
1,Suma za kus,Suma za kus
1,Cena,Cena
1,Cena za kus,Cena za kus
1,Celková suma,Celková suma
1,Celková cena,Celková cena
1,Položky,Položky
1,Fatúrované pložky,Fatúrované pložky
1,Fakturovaná práca,Fakturovaná práca
1,Cena s DPH,Cena s DPH
1,Cena bez DPH,Cena bez DPH
1,Suma s DPH,Suma s DPH
1,Suma bez DPH,Suma bez DPH
1,Po?et kusov,Po?et kusov
1,Po?et položiek,Po?et položiek
1,Celkový po?et kusov,Celkový po?et kusov
1,Po?et kusov spolu,Po?et kusov spolu
1,Po?et,Po?et
1,Jedotková cena,Jedotková cena
1,Jedn. cena bez DPH,Jedn. cena bez DPH
1,Jedn. cena s DPH,Jedn. cena s DPH
1,Celkom s DPH,Celkom s DPH
1,Názov položky,Názov položky
1,Názov a popis položky,Názov a popis položky
1,Popis položky,Popis položky
2,Online platba katrou vopred,Online platba katrou vopred
2,Zdvihák motorov 2T,Zdvihák motorov 2T
2,Balancer s hákmi,Balancer s hákmi
2,1,1
2,ks ,ks 
2,"2,515.26 €","2,515.26 €"
2,846.45 €,846.45 €
2,48.50 €,48.50 €
2,856 €,856 €
2,20,20
2,Kuriér,Kuriér
2,"2,416 €","2,416 €"
2,7.77 €,7.77 €
2,98,98
2,SADA VODICOV,SADA VODICOV
2,KABEL,KABEL
2,TERMOLUX,TERMOLUX
2,IZOLACNA PASKA,IZOLACNA PASKA
2,RVZ/Riedené funkcie,RVZ/Riedené funkcie
2,Kryt demontova? a montova?,Kryt demontova? a montova?
2,Ústredný zväzok vodi?ov oprava,Ústredný zväzok vodi?ov oprava
2,Te?ie sníma? na motor,Te?ie sníma? na motor
2,1 Dielenská,1 Dielenská
2,50,50
